code,name,market_id,category_id,color,url,listing_date,delisting_date
2488,日本サード・パーティ,4,33,,,,
2489,アドウェイズ,3,33,,,,
2491,バリューコマース,1,33,,,,
2492,インフォマート,1,33,,,,
2493,イーサポートリンク,4,33,,,,
2497,ユナイテッド,3,33,,,,
2498,ＡＣＫグループ,4,33,,,,
2499,日本和装ホールディングス,2,33,,,,
2501,サッポロホールディングス,1,4,,,,
2502,アサヒグループホールディングス,1,4,,,,
2503,キリンホールディングス,1,4,,,,
2531,宝ホールディングス,1,4,,,,
2533,オエノンホールディングス,1,4,,,,
2540,養命酒製造,1,4,,,,
2551,マルサンアイ,7,4,,,,
2573,北海道コカ・コーラボトリング,2,4,,,,
2579,コカ・コーラ　ボトラーズジャパンホールディングス,1,4,,,,
2586,フルッタフルッタ,3,4,,,,
2587,サントリー食品インターナショナル,1,4,,,,
2588,プレミアムウォーターホールディングス,2,4,,,,
2590,ダイドーグループホールディングス,1,4,,,,
2593,伊藤園,1,4,,,,
2594,キーコーヒー,1,4,,,,
2597,ユニカフェ,1,4,,,,
2599,ジャパンフーズ,1,4,,,,
2602,日清オイリオグループ,1,4,,,,
2607,不二製油グループ本社,1,4,,,,
2608,ボーソー油脂,2,4,,,,
2612,かどや製油,1,4,,,,
2613,Ｊｯオイルミルズ,1,4,,,,
2651,ローソン,1,27,,,,
2652,まんだらけ,2,27,,,,
2653,イオン九州,4,27,,,,
2654,アスモ,2,27,,,,
2655,マックスバリュ東北,2,27,,,,
2656,ベクター,4,27,,,,
2659,サンエー,1,27,,,,
2664,カワチ薬品,1,27,,,,
2666,オートウェーブ,4,27,,,,
2667,イメージ　ワン,4,26,,,,
2668,タビオ,2,26,,,,
2669,カネ美食品,4,27,,,,
2670,エービーシー・マート,1,27,,,,
2673,夢みつけ隊,4,27,,,,
2674,ハードオフコーポレーション,1,27,,,,
2675,ダイナックホールディングス,2,27,,,,
2676,高千穂交易,1,26,,,,
2678,アスクル,1,27,,,,
2681,ゲオホールディングス,1,27,,,,
2683,魚喜,2,27,,,,
2685,アダストリア,1,27,,,,
2686,ジーフット,1,27,,,,
2687,シー・ヴイ・エス・ベイエリア,1,27,,,,
2689,カワニシホールディングス,2,26,,,,
2692,伊藤忠食品,1,26,,,,
2693,ＹＫＴ,4,26,,,,
2694,ジー・テイスト,4,27,,,,
2695,くらコーポレーション,1,27,,,,
2698,キャンドゥ,1,27,,,,
2700,木徳神糧,4,26,,,,
2702,日本マクドナルドホールディングス,4,27,,,,
2703,日本ライトン,4,26,,,,
2705,大戸屋ホールディングス,4,27,,,,
2706,ブロッコリー,4,19,,,,
2708,久世,4,26,,,,
2714,プラマテルズ,4,26,,,,
2715,エレマテック,1,26,,,,
2721,ジェイホールディングス,4,26,,,,
2722,アイケイ,2,27,,,,
2726,パルグループホールディングス,1,27,,,,
2729,ＪＡＬＵＸ,1,26,,,,
2730,エディオン,1,27,,,,
2733,あらた,1,26,,,,
2734,サーラコーポレーション,1,27,,,,
2735,ワッツ,1,27,,,,
2736,フェスタリアホールディングス,4,27,,,,
2737,トーメンデバイス,1,26,,,,
2742,ハローズ,1,27,,,,
2743,ピクセルカンパニーズ,4,26,,,,
2747,北雄ラッキー,4,27,,,,
2749,ＪＰホールディングス,1,33,,,,
2750,石光商事,4,26,,,,
2751,テンポスホールディングス,4,26,,,,
2752,フジオフードシステム,4,27,,,,
2753,あみやき亭,1,27,,,,
2754,東葛ホールディングス,4,27,,,,
2760,東京エレクトロン　デバイス,1,26,,,,
2761,トシン・グループ,4,26,,,,
2762,三光マーケティングフーズ,2,27,,,,
2763,エフティグループ,4,26,,,,
2764,ひらまつ,1,27,,,,
2767,フィールズ,1,26,,,,
2768,双日,1,26,,,,
2769,ヴィレッジヴァンガードコーポレーション,4,27,,,,
2773,ミューチュアル,4,15,,,,
2776,新都ホールディングス,4,26,,,,
2777,カッシーナ・イクスシー,4,26,,,,
2778,パレモ・ホールディングス,4,27,,,,
2780,コメ兵,2,27,,,,
2782,セリア,4,27,,,,
2784,アルフレッサ　ホールディングス,1,26,,,,
2788,アップルインターナショナル,2,26,,,,
2789,カルラ,4,27,,,,
2790,ナフコ,4,27,,,,
2791,大黒天物産,1,27,,,,
2792,ハニーズホールディングス,1,27,,,,
2795,日本プリメックス,4,26,,,,
2796,ファーマライズホールディングス,1,27,,,,
2798,ワイズテーブルコーポレーション,2,27,,,,
2801,キッコーマン,1,4,,,,
2802,味の素,1,4,,,,
2804,ブルドックソース,2,4,,,,
2805,ヱスビー食品,2,4,,,,
2806,ユタカフーズ,2,4,,,,
2809,キユーピー,1,4,,,,
2810,ハウス食品グループ本社,1,4,,,,
2811,カゴメ,1,4,,,,
2812,焼津水産化学工業,1,4,,,,
2813,和弘食品,4,4,,,,
2814,佐藤食品工業,4,4,,,,
2815,アリアケジャパン,1,4,,,,
2816,ダイショー,2,4,,,,
2818,ピエトロ,1,4,,,,
2819,エバラ食品工業,1,4,,,,
2820,やまみ,4,4,,,,
2830,アヲハタ,2,4,,,,
2831,はごろもフーズ,2,4,,,,
2871,ニチレイ,1,4,,,,
2872,セイヒョー,2,4,,,,
2874,ヨコレイ,1,26,,,,
2875,東洋水産,1,4,,,,
2876,ジェーシー・コムサ,4,4,,,,
2877,日東ベスト,4,4,,,,
2882,イートアンド,1,4,,,,
2883,大冷,1,4,,,,
2884,ヨシムラ・フード・ホールディングス,1,4,,,,
2892,日本食品化工,2,4,,,,
2894,石井食品,2,4,,,,
2897,日清食品ホールディングス,1,4,,,,
2899,永谷園ホールディングス,1,4,,,,
2901,石垣食品,4,4,,,,
2902,太陽化学,7,4,,,,
2903,シノブフーズ,2,4,,,,
2904,一正蒲鉾,1,4,,,,
2905,オーケー食品工業,4,4,,,,
2907,あじかん,2,4,,,,
2908,フジッコ,1,4,,,,
2910,ロック・フィールド,1,4,,,,
2911,旭松食品,2,4,,,,
2914,ＪＴ,1,4,,,,
2915,ケンコーマヨネーズ,1,4,,,,
2916,仙波糖化工業,4,4,,,,
2917,大森屋,4,4,,,,
2918,わらべや日洋ホールディングス,1,4,,,,
2919,マルタイ,10,4,,,,
2922,なとり,1,4,,,,
2923,サトウ食品工業,2,4,,,,
2924,イフジ産業,1,4,,,,
2925,ピックルスコーポレーション,1,4,,,,
2926,篠崎屋,2,4,,,,
2927,ＡＦＣｯＨＤアムスライフサイエンス,4,4,,,,
2928,ＲＩＺＡＰグループ,9,33,,,,
2929,ファーマフーズ,2,4,,,,
2930,北の達人コーポレーション,1,4,,,,
2931,ユーグレナ,1,4,,,,
3001,片倉工業,1,5,,,,
3002,グンゼ,1,5,,,,
3003,ヒューリック,1,32,,,,
3004,神栄,1,26,,,,
3010,価値開発,2,33,,,,
3011,バナーズ,2,27,,,,
3020,アプライド,4,27,,,,
3021,パシフィックネット,2,27,,,,
3023,ラサ商事,1,26,,,,
3024,クリエイト,4,26,,,,
3028,アルペン,1,27,,,,
3030,ハブ,1,27,,,,
3031,ラクーン,1,26,,,,
3032,ゴルフ・ドゥ,8,27,,,,
3034,クオール,1,27,,,,
3035,ケイティケイ,4,26,,,,
3036,アルコニックス,1,26,,,,
3038,神戸物産,1,26,,,,
3040,ソリトンシステムズ,1,25,,,,
3041,ビューティ花壇,2,26,,,,
3042,セキュアヴェイル,5,25,,,,
3045,カワサキ,2,26,,,,
3046,ジンズ,1,27,,,,
3047,ＴＲＵＣＫｯＯＮＥ,10,26,,,,
3048,ビックカメラ,1,27,,,,
3050,ＤＣＭホールディングス,1,27,,,,
3053,ペッパーフードサービス,1,26,,,,
3054,ハイパー,4,26,,,,
3055,ほくやく・竹山ホールディングス,9,26,,,,
3057,ゼットン,8,27,,,,
3058,三洋堂ホールディングス,4,27,,,,
3059,ヒラキ,2,27,,,,
3063,ジェイグループホールディングス,3,27,,,,
3064,ＭｏｎｏｔａＲＯ,1,27,,,,
3065,ライフフーズ,4,27,,,,
3066,ＪＢイレブン,7,27,,,,
3067,東京一番フーズ,1,27,,,,
3068,ＷＤＩ,4,27,,,,
3069,ＪＦＬＡホールディングス,4,27,,,,
3070,アマガサ,5,26,,,,
3071,ストリーム,2,27,,,,
3073,ＤＤホールディングス,1,27,,,,
3075,銚子丸,4,27,,,,
3076,あい　ホールディングス,1,26,,,,
3077,ホリイフードサービス,4,27,,,,
3079,ディーブイエックス,1,26,,,,
3080,ジェーソン,4,27,,,,
3082,きちり,1,27,,,,
3083,シーズメン,4,27,,,,
3085,アークランドサービスホールディングス,1,27,,,,
3086,Ｊ．フロント　リテイリング,1,27,,,,
3087,ドトール・日レスホールディングス,1,27,,,,
3088,マツモトキヨシホールディングス,1,27,,,,
3089,テクノアルファ,4,26,,,,
3091,ブロンコビリー,1,27,,,,
3092,スタートトゥデイ,1,27,,,,
3093,トレジャー・ファクトリー,1,27,,,,
3094,スーパーバリュー,4,27,,,,
3096,オーシャンシステム,4,27,,,,
3097,物語コーポレーション,1,27,,,,
3098,ココカラファイン,1,27,,,,
3099,三越伊勢丹ホールディングス,1,27,,,,
3101,東洋紡,1,5,,,,
3103,ユニチカ,1,5,,,,
3104,富士紡ホールディングス,1,5,,,,
3105,日清紡ホールディングス,1,16,,,,
3106,クラボウ,1,5,,,,
3107,ダイワボウホールディングス,1,26,,,,
3109,シキボウ,1,5,,,,
3110,日東紡,1,11,,,,
3111,オーミケンシ,2,5,,,,
3113,Ｏａｋ　キャピタル,2,29,,,,
3116,トヨタ紡織,1,17,,,,
3121,マーチャント・バンカーズ,2,33,,,,
3123,サイボー,2,5,,,,
3125,新内外綿,2,5,,,,
3131,シンデン・ハイテックス,4,26,,,,
3132,マクニカ・富士エレホールディングス,1,26,,,,
3133,海帆,3,27,,,,
3134,Ｈａｍｅｅ,1,27,,,,
3135,マーケットエンタープライズ,3,27,,,,
3136,エコノス,9,27,,,,
3137,ファンデリー,3,27,,,,
3138,富士山マガジンサービス,3,27,,,,
3139,ラクト・ジャパン,1,26,,,,
3140,イデアインターナショナル,5,26,,,,
3141,ウエルシアホールディングス,1,27,,,,
3143,オーウイル,2,26,,,,
3148,クリエイトＳＤホールディングス,1,27,,,,
3150,グリムス,4,26,,,,
3151,バイタルケーエスケー・ホールディングス,1,26,,,,
3153,八洲電機,1,26,,,,
3154,メディアスホールディングス,1,26,,,,
3156,ＵＫＣホールディングス,1,26,,,,
3157,ジューテックホールディングス,1,26,,,,
3159,丸善ＣＨＩホールディングス,1,27,,,,
3160,大光,1,26,,,,
3161,アゼアス,2,26,,,,
3165,フーマイスターエレクトロニクス,4,26,,,,
3166,ＯＣＨＩホールディングス,1,26,,,,
3167,ＴＯＫＡＩホールディングス,1,26,,,,
3168,黒谷,1,26,,,,
3169,ミサワ,1,27,,,,
3171,マックスバリュ九州,4,27,,,,
3172,ティーライフ,1,27,,,,
3173,Ｃｏｍｉｎｉｘ,1,26,,,,
3174,ハピネス・アンド・ディ,4,27,,,,
3175,エー・ピーカンパニー,1,27,,,,
3176,三洋貿易,1,26,,,,
3177,ありがとうサービス,4,27,,,,
3178,チムニー,1,27,,,,
3179,シュッピン,1,27,,,,
3180,ビューティガレージ,1,26,,,,
3181,買取王国,4,27,,,,
3182,オイシックス・ラ・大地,3,27,,,,
3183,ウイン・パートナーズ,1,26,,,,
3184,ＩＣＤＡホールディングス,2,27,,,,
3185,夢展望,3,27,,,,
3186,ネクステージ,1,27,,,,
3187,サンワカンパニー,3,27,,,,
